Land_town,Heating_Degree_day,Altitude,Latitude,Longitude,Average_High_Temperature_in_Jan_2016,Average_Temperature_in_Jan_2016,Days_with_precipitation_Jan_2016,Residents_per_dwelling_ratio,Independent_Heat_System_Share_of_Dwellings,Independent_Hot_Water_System_Share_of_Dwellings,Share_of_buildings_built_before_1960,Share_of_buildings_built_after_1990,Average_building_age,Share_of_non-occupied_buildings,Rate_of_urban_population,Population_density_per__Sq_km,Share_of_houses_owned,Share_of_houses_rented,Average_habitable_area_per_resident_sqm,Average_size_of_dwellings_sqm,Average_family_size,Employees_population_ratio,Per_capita_income_€,Share_of_employees_in_the_industrial_sector,Tourist_accommodations_per_capita,Share_of_recycled_waste,Per_capita_recycled_waste_production_kg,Per_capita_urban_waste_production_kg,Per_capita_electr_energy_cons_in_the_domes_sector_kWh,Province
Campobasso,2346,701,41.56865053,14.66346016,6.161290323,3.758064516,15,2.508575417,0.80439412,0.827766863,0.583993975,0.10049976,73.2492709,0.365348241,0.863885098,76.79272837,0.775582821,0.109046333,41.82,104.3677236,2.35,0.163431514,15942.83284,0.33715274,0.041376578,0.2782,108.54,390.15,906.7680419,Campobasso
Ravenna,2227,4,44.41359981,12.1940993,8.870967742,5.338709677,8,2.302262406,0.875105181,0.906788174,0.414470681,0.1394409,51.96239271,0.244420046,0.874688443,210.503158,0.746834116,0.158678658,46.99,107.127098,2.18,0.287729266,21376.93522,0.359661087,0.207654811,0.5423,387.71,714.88,1156.064934,Ravenna
Imperia,1201,10,43.90015938,8.004841927,12.48387097,10.32258065,8,2.149361711,0.69302419,0.69401254,0.501628404,0.118443925,75.7546904,0.428349748,0.909749093,186.2961039,0.653272384,0.244582227,39.32,83.60335878,2.05,0.208841876,18924.00967,0.245351251,0.140854367,0.3829,228.86,597.7,1164.877051,Imperia
Savona,1481,4,44.33708252,8.424361205,12.48387097,10.32258065,8,2.077119227,0.691882116,0.686679974,0.514550904,0.088352831,71.20290696,0.447821955,0.953193276,180.6958585,0.680923286,0.226054802,42.36,87.14280435,1.98,0.243011373,21323.64008,0.306107507,0.210240938,0.4973,302.88,609.06,1168.89996,Savona
Genova,1435,19,44.44251026,8.894138062,12.29032258,10.06451613,16,2.110679248,0.530204592,0.650701028,0.697362435,0.048444656,85.76203282,0.219839328,0.978098556,463.5636487,0.701502134,0.22146701,42.77,89.25013688,1.98,0.314846103,23517.47241,0.308009471,0.044710383,0.4014,204.91,510.54,1051.67686,Genova
La_Spezia,1413,3,44.11096128,9.822135122,11.35483871,8.725806452,17,2.194024028,0.780157258,0.797728513,0.579281822,0.093940504,73.29791267,0.247613316,0.950677062,250.413556,0.702544166,0.199173269,41.53,90.47919814,2.12,0.231728446,21654.65317,0.310713232,0.108976973,0.547,279.22,510.44,1041.241878,La_Spezia
Massa,1525,65,44.05589019,10.16239303,11.87096774,9.0,18,2.3570872,0.845068202,0.855497682,0.532829001,0.103784164,69.77446484,0.296425429,0.963070373,170.2476647,0.716520399,0.163340656,40.99,95.88816085,2.2,0.223806662,20163.13644,0.345231967,0.164192695,0.4045,244.65,604.81,1015.362702,Massa
Lucca,1715,19,43.86559566,10.47454982,10.70967742,7.548387097,17,2.435659897,0.850183025,0.843745848,0.516803544,0.12743524,69.27324863,0.265146106,0.942072017,219.9632645,0.741037146,0.141232488,44.71,108.1125983,2.3,0.285107654,21007.07147,0.39187102,0.121820214,0.6538,411.92,630.08,1167.56657,Lucca
Pistoia,1885,67,43.97774539,10.91670625,10.61290323,7.467741936,16,2.47656492,0.817428845,0.798735219,0.512703505,0.070347445,68.14491935,0.204868543,0.896941633,302.7039268,0.736633547,0.158847578,43.53,107.2409667,2.32,0.253274093,19834.77286,0.384685018,0.081126923,0.4767,275.46,577.89,1077.991632,Pistoia
Firenze,1821,50,43.78093213,11.24592389,10.61290323,7.467741936,16,2.362598811,0.785861303,0.815093823,0.628925961,0.072112297,78.78898437,0.10086358,0.923690714,288.7053244,0.729918067,0.181073764,40.68,95.3109717,2.22,0.344760544,23532.90157,0.359425577,0.092435798,0.5682,341.34,600.73,1045.816193,Firenze
Livorno,1408,3,43.52304693,10.34998499,12.51612903,10.38709677,14,2.298920646,0.742834121,0.696541022,0.455883842,0.114173468,60.54084567,0.251230415,0.944220232,277.9353487,0.725927457,0.186024954,38.25,87.14925803,2.15,0.243683016,21309.26531,0.264621637,0.354254241,0.418,293.03,700.96,1088.83184,Livorno
